"tau_boat_prior_mu","scale_factor","boat_catch_median","boat_lo95","boat_hi95","boat_pct_change","port_total_median","port_lo95","port_hi95","port_pct_change","is_current_prior"
2,0.6601,29950,20082,45237,-34,77847,65788,94862,-16.5,FALSE
2.4,0.7921,35939,24099,54285,-20.8,83836,70091,103514,-10.1,FALSE
2.7,0.8911,40432,27111,61070,-10.9,88333,73226,110202,-5.3,FALSE
3,0.9901,44924,30124,67856,-1,92821,76384,116800,-0.5,FALSE
3.4,1.1221,50914,34140,76903,12.2,98863,80539,125798,6,FALSE
