date,private_tally,commercial_tally,charter_tally,private_interviewed,commercial_interviewed,charter_interviewed,notes
2024-12-03,5,5,1,5,5,1,
2024-12-04,7,5,0,7,5,0,knotty girl went out but not for crab
2024-12-05,3,7,1,3,7,1,missed 1 boat at BL
2024-12-06,4,4,0,4,4,0,
2024-12-07,1,4,0,1,4,0,missed the ultimate
2024-12-10,0,3,1,1,2,1,"missed 1 comm, charter was not crabbing. Started tally "
2024-12-11,1,4,1,1,5,1,
2024-12-12,1,5,1,2,5,0,
2024-12-13,1,0,1,1,0,1,
2024-12-14,0,0,0,0,0,0,
2024-12-15,4,10,1,0,10,1,
2024-12-18,3,10,0,3,9,1,"rec = 3 bl, cluster duck (marina). Missed 1 rec boat"
2024-12-20,1,4,0,4,1,0,missed 1 rec boat
2024-12-21,2,3,0,2,2,0,
2024-12-22,2,3,1,2,3,1,
2024-12-23,1,7,0,0,6,0,missed betty lee
2024-12-24,2,3,0,1,2,0,
2024-12-26,1,0,0,0,0,0,
2024-12-27,3,2,0,3,2,0,monte carlo - CG check
2024-12-28,8,1,1,5,1,1,"rec = 3 bl, 3 marina"
2024-12-31,5,6,1,4,6,1,"alma jayne test run, miss kathleen missed"
2025-01-01,3,1,1,1,1,1,no trailers lefts
2025-01-02,3,3,1,3,3,1,no trailers lefts
2025-01-03,1,2,0,2,1,0,1 rec still out
2025-01-04,3,2,1,1,2,1,
2025-01-07,4,4,0,4,4,0,
2025-01-08,6,4,1,5,4,1,3 rec boats still out
2025-01-09,1,0,0,0,0,0,1 trailer left
2025-01-10,1,1,0,0,1,0,
2025-01-11,2,3,1,2,4,1,
2025-01-14,5,5,0,3,4,0,"1 comm, 1 rec still out"
2025-01-16,0,0,0,0,0,0,
2025-01-17,2,5,0,2,5,0,
2025-01-18,7,6,1,5,4,1,
2025-01-21,1,6,0,1,6,0,
2025-01-22,1,1,1,1,1,1,
2025-01-23,1,7,1,1,6,1,
2025-01-24,0,5,0,1,3,0,interivewed 3 out of 5
2025-01-25,5,5,1,3,3,1,
2025-01-29,4,2,1,5,1,1,
2025-01-30,0,7,1,0,7,1,
2025-01-31,0,0,0,0,0,0,
2025-02-01,0,2,1,0,2,1,
2025-02-05,0,1,1,0,1,1,
2025-02-06,0,4,0,0,4,0,
2025-02-07,0,2,0,0,2,0,
2025-02-08,2,0,0,1,0,0,missed 1 rec boat
