"Component","Effort_hrs","Dungeness"
"Shore (ring-net)",10203.4092797387,5552.66098987297
"Shore (all-gear)",8762.67722162631,3215.99764582302
"Private Boat (ring-net)",11678.1176470588,6171.26722689076
"Private Boat (all-gear)",10053.12,7500.11110262854
"Commercial/Charter",282.811594202899,12007.1197463768
"PORT TOTAL",40980.1357426268,34447.1567115921
