"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (ring_net_only)",11026,11156,1.2,6070,6742,11.1,"BSS"
"shore (all_gear)",8171,8482,3.8,3124,3568,14.2,"BSS"
"private_boat (ring_net_only)",11678,NA,NA,6171,NA,NA,"PE"
"private_boat (all_gear)",10053,2391,-76.2,7500,2617,-65.1,"PE"
"comm_charter (census)",283,NA,NA,12007,NA,NA,"Census"
