"event_date","L_prior_mu","L_posterior_median","L_posterior_lo95","L_posterior_hi95"
2024-09-16,5.60049161553405,5.61578501582915,3.66742333957157,8.49969266666271
2024-09-17,5.60226255475652,5.60231501635098,3.72932493475968,8.50655183840951
2024-09-18,5.60401108350319,5.59793064535516,3.76778603876723,8.42949857148113
2024-09-19,5.60573718044314,5.619536188375,3.72974034074279,8.38057593776383
2024-09-20,5.35926231926179,5.35998149066657,3.54048801595691,8.07764628377978
2024-09-21,5.36086908311693,5.35356698580926,3.53014454091439,8.03983134449074
2024-09-22,5.36245434835493,5.37014131504358,3.4634643137306,8.27412038895899
2024-09-23,5.61241683294997,5.62798308457367,3.70923964967229,8.51784188688238
2024-09-24,5.6140304603313,5.62190975072858,3.70419425855965,8.41422354092496
2024-09-25,5.61562153358965,5.63172196516402,3.68966065194434,8.57617292852903
2024-09-26,5.61719003328775,5.63151724133018,3.72718573411607,8.59991896951448
2024-09-27,5.37005752693364,5.37272742040218,3.54518546113507,8.17171268715251
2024-09-28,5.37151340309025,5.37187420168527,3.52176136198941,8.08676000619913
2024-09-29,5.37294765059603,5.36872593306569,3.49175983545876,8.14929753989652
2024-09-30,5.6232379172657,5.65327289190318,3.74155393998904,8.53756804221585
2024-10-01,5.62469326714236,5.63999269369474,3.75596249621015,8.34647855933423
2024-10-02,5.6261259325638,5.63737214017733,3.71657988926332,8.49441088309729
2024-10-03,5.62753589600582,5.61987407399602,3.74913818580378,8.50379772956096
2024-10-04,5.37979385382233,5.39086288091832,3.4830594868613,8.20690522733836
2024-10-05,5.38109797036875,5.36056686903997,3.44885778063694,8.22910215276683
2024-10-06,5.38238034102889,5.39218149148281,3.52667737592636,8.37693385529899
2024-10-07,5.63294838911988,5.60888392477566,3.73488108760177,8.42639468422298
2024-10-08,5.63424458943083,5.65212712489926,3.74495228269578,8.63794938072497
2024-10-09,5.63551798839938,5.62473942757004,3.74511598520338,8.51278749816843
2024-10-10,5.6367685704319,5.60965621997484,3.75719370563486,8.37273859678268
2024-10-11,5.38846546591301,5.38513654042783,3.53830331263523,8.20516634182169
2024-10-12,5.38961704088385,5.39582532716397,3.57493716994149,8.19389608877315
2024-10-13,5.39074676564831,5.36946691115998,3.51575923282139,8.19252403100795
2024-10-14,5.64154242703439,5.65562689173366,3.78817309543948,8.50696273108984
2024-10-15,5.64267870019197,5.62890034260244,3.7357915040754,8.53509032165753
2024-10-16,5.64379206868183,5.6410666087433,3.73609713529513,8.42914247703386
2024-10-17,5.64488251885647,5.60704290773302,3.6289175584504,8.67149544096279
2024-10-18,5.39606716120999,5.37634877132894,3.5795388979639,8.28368076218398
2024-10-19,5.39706550336751,5.42946504291139,3.55565003450543,8.26940424171517
2024-10-20,5.39804190401819,5.3751711846707,3.53882959996491,8.27276382363865
2024-10-21,5.64901487323058,4.93645132587781,3.65129160282303,7.10641575874634
2024-10-22,5.64999053689791,5.63817002470159,3.72518737755796,8.58811389461516
2024-10-23,5.65094320623739,5.63109939452091,3.76815691311501,8.40226827111016
2024-10-24,5.65187286956136,5.68462257436474,3.80811288283645,8.54099257923206
2024-10-25,5.40259437493728,5.39648504769461,3.5709818829166,8.30496925187369
2024-10-26,5.40343888446289,5.4217559266363,3.56847298696888,8.30306262753038
2024-10-27,5.40426137429225,5.40247747953953,3.5728323225143,8.16355381119686
2024-10-28,5.65536123878808,5.67115585131981,3.7721574279905,8.46166034117995
2024-10-29,5.65617570656189,5.67813700754782,3.79020606622912,8.54620765310225
2024-10-30,5.65696710410271,5.65296823192305,3.77962660380756,8.48915292258344
