"fit","R_G_interpretation","R_T_interpretation"
"shore_ring_net_only_Dungeness_Kept","1.32 gear/crabber (1.27-1.37)","0.50 trailers/group (0.03-0.98)"
"shore_all_gear_Dungeness_Kept","1.35 gear/crabber (1.29-1.42)","0.51 trailers/group (0.03-0.97)"
"private_boat_all_gear_Dungeness_Kept","1.32 gear/crabber (0.72-2.32)","0.99 trailers/group (0.96-1.00)"
