"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"trailer",195,-573.804694774803,21.9190623191323,4.86510451747013,0,-568.94
"catch",131,-451.428659891938,9.75752870755403,10.4341670663233,1,-440.99
