"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"trailer",44,-88.6220332161552,6.64036361525051,3.18556975981927,0,-85.44
"catch",17,-52.7849690250297,3.57802158322931,3.64926860054976,1,-49.14
