"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1673,1131,2764,1225,919,1692
"2024-10",2943,2303,3911,2098,1705,2606
"2024-11",2598,1996,3553,1941,1523,2468
"2024-12",8749,8127,9565,2090,1720,2586
"2025-01",6765,6357,7336,2414,1939,3105
"2025-02",1544,1303,1933,1499,1182,1976
"2025-03",1434,1047,2053,2002,1598,2593
"2025-04",2813,2050,3958,3212,2510,4214
"2025-05",4815,3035,8240,3210,2473,4338
"2025-06",4504,2682,7928,3560,2530,5213
"2025-07",10794,5511,21750,6869,4649,10176
"2025-08",12741,6803,23636,6841,4738,9825
"2025-09",3709,2192,7063,2584,1805,3744
