"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",43226,28910,65865,0.655
"Trap",11544,10318,13089,0.175
"Ring Net",9013,7498,11220,0.137
"Snare",1952,1696,2267,0.03
"Other",246,106,526,0.004
