"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",30823,23957,42646,0.591
"Trap",11398,10062,13074,0.219
"Ring Net",7878,6815,9330,0.151
"Snare",1882,1632,2205,0.036
"Other",151,80,301,0.003
