"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1396,1038,2037,1059,798,1521
"2024-10",2764,2205,3545,2022,1627,2542
"2024-11",2415,1852,3178,1829,1428,2353
"2024-12",8978,8302,9882,2095,1711,2650
"2025-01",6834,6420,7442,2353,1869,3090
"2025-02",1586,1313,2025,1472,1136,1990
"2025-03",1416,1022,2071,1931,1517,2587
"2025-04",2582,1862,3729,2912,2246,3968
"2025-05",4063,2653,6662,3016,2288,4264
"2025-06",2924,1834,4888,2735,1919,4228
"2025-07",5771,3503,10673,4639,3370,6652
"2025-08",7735,4570,13719,4817,3574,6676
"2025-09",2892,1853,5050,2135,1570,3031
