"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",63564,48513,86043,0.677
"Trap",15871,13125,19219,0.169
"Ring Net",11361,8972,15296,0.121
"Snare",2721,2058,3605,0.029
"Other",415,0,1518,0.004
