"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"gear",311,-1336.97603866603,15.2123013437489,29.2207007172103,1,-1307.76
"catch",1651,-3153.39188773072,46.4704800631654,27.9927294860375,0,-3125.4
