"Component","Effort_hrs","Dungeness"
"Shore (Pot closure)",6877.60050534102,8591.49279854142
"Shore (All gear)",35291.9951620574,29736.8727489808
"Private Boat (Pot closure)",457.152066004814,1192.27483290989
"Private Boat (All gear)",13967.7584837373,37017.7021642516
"Commercial/Charter",198,8538.08731748018
"PORT TOTAL",56792.5062171405,85076.4298621639
