"stratum","label","walk_prev","walk_gap","contact_days","contacts","contacts_crabbing","typed_days","typed_crabbing","typed_combo","osp_days","osp_total","osp_crab_only","f_median","f_lo95","f_hi95","f_n_eff","f_Rhat","c_median","c_lo95","c_hi95","crab_only_share_median","crab_only_share_lo95","crab_only_share_hi95"
1,"2024-09",0,1,6,30,3,3,3,3,0,0,0,0.165773293780107,0.059417950189424,0.330850934248384,3483,0.9996,0.626102570145423,0.249130583805746,0.963994707641991,0.0561348581443593,0.00496015199399575,0.173707368694372
2,"2024-10",1,1,15,40,14,10,14,6,0,0,0,0.337380339422604,0.212319676813869,0.492638104427002,5248,0.9996,0.411596432272427,0.189717156144638,0.668284115754954,0.194072447123287,0.0946923022652719,0.326417362167265
3,"2024-11",2,1,4,9,5,3,5,0,0,0,0,0.459736044323512,0.216778888461926,0.783552688742517,5046,0.9997,0.117017019771207,0.000321576317345227,0.515398124685945,0.382202745380636,0.155398065263433,0.716170722254467
