"param","median_bulk","median_div","smd","distortion_C","distortion_E"
"sigma_mu_E",0.73654221762432,0.527089098486264,0.719641914558122,0.00658802314191185,0.0371561677954501
"sigma_mu_C",0.790828254427494,0.925245845807245,0.406682522769804,0.00658802314191185,0.0371561677954501
"phi_E",0.756611357317547,0.807612327523469,0.250117840282963,0.00658802314191185,0.0371561677954501
"sigma_eps_C",0.3579132581742,0.376347231801541,0.234750203192598,0.00658802314191185,0.0371561677954501
"R_G_boat",3.56067354952286,3.59312664129301,0.185208778136631,0.00658802314191185,0.0371561677954501
"phi_C",-0.0946108430450833,-0.00783655626699176,0.107687582886093,0.00658802314191185,0.0371561677954501
"R_G",1.25539516895527,1.2174909764575,-0.0761851545239967,0.00658802314191185,0.0371561677954501
"r_E",1.16103117984909,1.12968078185999,-0.0759313891146118,0.00658802314191185,0.0371561677954501
"sigma_IE",0.133456919137117,0.119125835821544,-0.0647814947772504,0.00658802314191185,0.0371561677954501
"sigma_r_E",0.928064282015457,0.940853903576526,0.0565135876187008,0.00658802314191185,0.0371561677954501
"sigma_r_C",0.796419716734348,0.795211112038519,-0.0494838175378719,0.00658802314191185,0.0371561677954501
"sigma_eps_E",0.879763199142805,0.885956279608894,-0.0444355447681577,0.00658802314191185,0.0371561677954501
"r_C",1.57657993075329,1.58137803837702,0.0304211692468884,0.00658802314191185,0.0371561677954501
