"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected","bss_reported"
"shore (Pot closure)",6878,7086,3,8591,8963,4.3,"BSS",TRUE
"shore (All gear)",35292,34837,-1.3,29737,29210,-1.8,"BSS",TRUE
"private_boat (Pot closure)",457,541,18.3,1192,1372,15.1,"BSS",TRUE
"private_boat (All gear)",13968,15576,11.5,37018,45604,23.2,"BSS",TRUE
"comm_charter (census)",198,NA,NA,8538,NA,NA,"Commercial CENSUS (exact sum over the tally days) (6,405 crab, 164 vessel-trips on 47 tally days, 23 unsampled days = no operation; per-vessel mean over 20 interviews SE 123) + Charter EXPANSION (roster frame incl. 514 crab on 8 day(s) with no tally, vessel; 34 trips, 20 interviewed = 59%, 1,286 crab observed -> 2,133 crab, SE 73). Carried into the port interval: 73 (census_uncertainty = 'charter')",FALSE
