"fit","R_G_median","R_G_lo95","R_G_hi95","R_G_status","R_G_interpretation","R_G_boat_median","R_G_boat_lo95","R_G_boat_hi95","R_G_boat_interpretation"
"shore_ring_net_only_Dungeness_Kept",1.323,1.264,1.385,"estimated (gear counts)","1.32 gear per crabber (1.26-1.38) [estimated (gear counts)]",NA,NA,NA,"not applicable (shore fit)"
"shore_all_gear_Dungeness_Kept",1.28,1.243,1.317,"estimated (gear counts)","1.28 gear per crabber (1.24-1.32) [estimated (gear counts)]",NA,NA,NA,"not applicable (shore fit)"
"private_boat_ring_net_only_Dungeness_Kept",1.304,0.735,2.335,"prior-only (no gear counts in boat fits)","1.30 gear per crabber (0.74-2.33) [prior-only (no gear counts in boat fits)]",2.943,2.26,3.772,"2.94 gear per boat group (2.26-3.77)"
"private_boat_all_gear_Dungeness_Kept",1.294,0.728,2.334,"prior-only (no gear counts in boat fits)","1.29 gear per crabber (0.73-2.33) [prior-only (no gear counts in boat fits)]",3.56,3.254,3.897,"3.56 gear per boat group (3.25-3.90)"
