"hr","returns","arrivals","return_share","arrival_share"
4.75,0,0,0,0
5,0,0,0,0
5.25,0,0,0,0
5.5,0,0,0,0
5.75,0,0,0,0
6,0,1,0,0.00313479623824451
6.25,0,1,0,0.00313479623824451
6.5,0,2,0,0.00626959247648903
6.75,0,1,0,0.00313479623824451
7,0,6,0,0.0188087774294671
7.25,0,1,0,0.00313479623824451
7.5,0,21,0,0.0658307210031348
7.75,0,33,0,0.103448275862069
8,0,18,0,0.0564263322884013
8.25,1,14,0.003125,0.0438871473354232
8.5,1,8,0.003125,0.0250783699059561
8.75,6,11,0.01875,0.0344827586206897
9,5,19,0.015625,0.0595611285266458
9.25,6,16,0.01875,0.0501567398119122
9.5,9,10,0.028125,0.0313479623824451
9.75,7,8,0.021875,0.0250783699059561
10,6,9,0.01875,0.0282131661442006
10.25,11,7,0.034375,0.0219435736677116
10.5,11,10,0.034375,0.0313479623824451
10.75,6,5,0.01875,0.0156739811912226
11,16,7,0.05,0.0219435736677116
11.25,15,6,0.046875,0.0188087774294671
11.5,10,10,0.03125,0.0313479623824451
11.75,15,11,0.046875,0.0344827586206897
12,6,9,0.01875,0.0282131661442006
12.25,9,8,0.028125,0.0250783699059561
12.5,8,7,0.025,0.0219435736677116
12.75,12,8,0.0375,0.0250783699059561
13,11,4,0.034375,0.0125391849529781
13.25,11,3,0.034375,0.00940438871473354
13.5,15,3,0.046875,0.00940438871473354
13.75,8,8,0.025,0.0250783699059561
14,8,6,0.025,0.0188087774294671
14.25,9,3,0.028125,0.00940438871473354
14.5,9,2,0.028125,0.00626959247648903
14.75,9,4,0.028125,0.0125391849529781
15,13,4,0.040625,0.0125391849529781
15.25,6,1,0.01875,0.00313479623824451
15.5,10,2,0.03125,0.00626959247648903
15.75,4,2,0.0125,0.00626959247648903
16,3,3,0.009375,0.00940438871473354
16.25,8,1,0.025,0.00313479623824451
16.5,8,1,0.025,0.00313479623824451
16.75,13,2,0.040625,0.00626959247648903
17,1,0,0.003125,0
17.25,2,0,0.00625,0
17.5,0,0,0,0
17.75,3,0,0.009375,0
18,4,2,0.0125,0.00626959247648903
18.25,1,0,0.003125,0
18.5,0,1,0,0.00313479623824451
18.75,3,0,0.009375,0
19,0,0,0,0
19.25,0,0,0,0
19.5,0,0,0,0
19.75,0,0,0,0
20,0,0,0,0
20.25,0,0,0,0
20.5,1,0,0.003125,0
