"population","subseason","gear_type","BSS_median","BSS_lo95","BSS_hi95","PE_catch","method"
"shore","ring_net_only","All",9003,6872,11740,NA,"BSS"
"shore","all_gear","All",29206,23523,36472,NA,"BSS"
"private_boat","ring_net_only","All",1295,503,4692,NA,"BSS"
"private_boat","all_gear","All",53584,36189,77863,NA,"BSS"
"comm_charter","census","Pot",NA,NA,NA,8538,"Census (day-type stratified)"
