"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected","bss_reported"
"shore (Pot closure)",6878,7110,3.4,8591,9003,4.8,"BSS",TRUE
"shore (All gear)",35292,34892,-1.1,29737,29206,-1.8,"BSS",TRUE
"private_boat (Pot closure)",457,508,11.1,1192,1295,8.6,"BSS",TRUE
"private_boat (All gear)",13968,16376,17.2,37018,53584,44.8,"BSS",TRUE
"comm_charter (census)",198,NA,NA,8538,NA,NA,"Commercial CENSUS (exact over the tally days) (6,405 crab) + Charter EXPANSION (roster frame, vessel; 34 trips, 20 interviewed, 2,133 crab, SE 73); carried SE 73 ('charter')",FALSE
