"tau_boat_prior_mu","scale_factor","boat_catch_median","boat_lo95","boat_hi95","boat_pct_change","port_total_median","port_lo95","port_hi95","port_pct_change","is_current_prior"
2,0.6601,35369,23887,51395,-34,84026,70475,101395,-17.8,FALSE
2.4,0.7921,42443,28664,61674,-20.8,91148,75487,111472,-10.8,FALSE
2.7,0.8911,47748,32247,69383,-10.9,96438,79284,119036,-5.7,FALSE
3,0.9901,53053,35830,77092,-1,101703,82999,126658,-0.5,FALSE
3.4,1.1221,60127,40608,87371,12.2,108762,87865,136924,6.4,FALSE
