"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort (crabber-hrs)",174302,221328,205232,238847
"Dungeness_Kept","Catch",70146,108368,95041,129764
