"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",3493,2606,5271,6256,4866,9349
"2024-10",5830,4652,7379,10621,8663,13223
"2024-11",5120,3889,6685,8384,6556,10697
"2024-12",11671,10237,13616,8953,7139,11339
"2025-01",8062,7276,9166,9617,7715,12347
"2025-02",2403,1820,3267,6717,5119,8826
"2025-03",2736,1990,3766,8898,7646,10348
"2025-04",6462,4723,9656,18587,15744,22097
"2025-05",10129,7416,14268,22817,19440,27092
"2025-06",6390,4232,9817,17843,14051,22765
"2025-07",16935,11113,28888,41758,33941,52569
"2025-08",19558,13673,31491,42918,36167,51932
"2025-09",7846,5187,13027,16015,13078,20315
