"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1546,1086,2423,1147,871,1601
"2024-10",3052,2411,4184,2164,1763,2686
"2024-11",2842,2109,4803,2119,1630,2867
"2024-12",8296,7182,10024,2632,2130,3276
"2025-01",6072,5304,7361,2577,2079,3238
"2025-02",1558,1211,2210,1605,1273,2027
"2025-03",1854,1315,2906,1939,1636,2302
"2025-04",3449,2531,5014,3451,2879,4153
"2025-05",7513,4896,12671,3977,3180,4980
"2025-06",6844,4165,11577,4601,3487,6096
"2025-07",16030,8673,30205,9019,6577,12573
"2025-08",16220,9830,27946,8051,6152,10649
"2025-09",3501,2092,6710,2428,1737,3439
