"stratum","label","walk_prev","walk_gap","contact_days","contacts","contacts_crabbing","typed_days","typed_crabbing","typed_combo","osp_days","osp_total","osp_crab_only","f_median","f_lo95","f_hi95","f_n_eff","f_Rhat","c_median","c_lo95","c_hi95","crab_only_share_median","crab_only_share_lo95","crab_only_share_hi95"
1,"2024-12",0,1,17,31,30,17,30,0,0,0,0,0.920491961024681,0.81113632293876,0.979977176118038,11617,1.0004,0.022180456003048,0.000943163736162776,0.0985715926905768,0.892415374335873,0.774697933971073,0.964726080995013
2,"2025-01",1,1,11,26,23,11,23,0,0,0,0,0.891571720029978,0.764529064640612,0.962588799962772,13128,0.9999,0.020675700902603,0.000637965393899953,0.106193436770832,0.865192485691787,0.734603318668444,0.946960688187444
3,"2025-02",2,1,4,5,5,4,5,0,0,0,0,0.867296508858093,0.670656019700756,0.970653159295217,10622,0.9998,0.0522276095511908,0.00126365505566844,0.299071374789063,0.800907363748981,0.554288568752993,0.941432639068619
4,"2025-03",3,1,6,13,9,6,9,5,0,0,0,0.749378306356484,0.533705209348195,0.912637099665872,10116,1,0.386740743201666,0.133352122769798,0.695900460033109,0.448542182732884,0.208559440430499,0.697993821766533
5,"2025-04",4,1,11,26,16,9,16,6,0,0,0,0.623461151662141,0.453750065426443,0.776489308483829,10872,1,0.3848288882529,0.192596711421529,0.612061950088154,0.376889903852291,0.221639728459882,0.549701680187712
6,"2025-05",5,1,10,17,8,6,8,4,0,0,0,0.510080170523746,0.321525622378258,0.690109262019674,10913,1,0.473316613305381,0.226913723690018,0.737720844440195,0.261893425534004,0.119092242729786,0.443212319063682
7,"2025-06",6,1,4,13,6,4,6,3,0,0,0,0.471078208691734,0.275427649513382,0.674903964141489,12885,0.9999,0.535866681525198,0.241160994503267,0.806958524844121,0.212286819869103,0.0799169397294884,0.408364356593098
8,"2025-07",7,1,6,17,8,4,8,6,0,0,0,0.416230165324679,0.244967428378263,0.615429245658813,12563,0.9999,0.647022197879216,0.367626971787687,0.881029230300865,0.142974860503449,0.0442288021944034,0.303929603189608
9,"2025-08",8,1,7,44,12,5,12,6,0,0,0,0.302523477948608,0.174380178276316,0.46157615505779,11201,0.9998,0.59072762772797,0.32043482097578,0.811997617864124,0.121163892969092,0.047811156992646,0.240149199943742
10,"2025-09",9,1,6,29,4,3,4,4,0,0,0,0.198564030059136,0.074940062158341,0.366413193779619,9379,0.9999,0.827044101146053,0.439689604747598,0.998025254951215,0.0311056686196292,0.000353879771695235,0.136877539997386
