"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,67,40763,32921,23,80.8
"boat pot-closure",76,14,883,692,18,78.4
"shore all-gear",289,145,19901,11067,50,55.6
"shore pot-closure",76,51,5942,2018,67,34
