"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",57960,44140,79137,0.721
"Trap",11543,10183,13180,0.144
"Ring Net",8545,6853,11395,0.106
"Snare",1987,1568,2527,0.025
"Other",391,0,1506,0.005
