"period","date_start","date_end","n_days","n_days_with_effort","n_days_with_interview","frac_days_effort","frac_days_interview","n_effort_obs","n_interviews","n_ie_obs","observed","omega_E_ci95_width","omega_C_ci95_width"
1,"2024-12-01","2024-12-01",1,1,1,1,1,1,31,0,TRUE,1.1875199070851,0.905256176503248
2,"2024-12-02","2024-12-08",7,5,6,0.714,0.857,5,50,1,TRUE,0.915582544535542,0.81909028647646
3,"2024-12-09","2024-12-15",7,6,6,0.857,0.857,6,52,0,TRUE,0.940038189709836,0.866339909049183
4,"2024-12-16","2024-12-22",7,4,4,0.571,0.571,4,25,0,TRUE,1.02057538631703,0.91634934680741
5,"2024-12-23","2024-12-29",7,5,5,0.714,0.714,5,51,0,TRUE,0.954859415879214,0.868494265274824
6,"2024-12-30","2024-12-31",2,1,1,0.5,0.5,1,39,0,TRUE,1.20583992433004,1.03730521469898
7,"2025-01-01","2025-01-05",5,4,4,0.8,0.8,4,44,0,TRUE,0.994524017552398,0.920371874159472
8,"2025-01-06","2025-01-12",7,5,5,0.714,0.714,5,81,0,TRUE,0.944101184985258,0.862679233795975
9,"2025-01-13","2025-01-19",7,4,4,0.571,0.571,4,45,0,TRUE,0.976408885195779,0.899351341007649
10,"2025-01-20","2025-01-26",7,5,4,0.714,0.571,5,31,1,TRUE,0.97921076139429,1.00402657048362
11,"2025-01-27","2025-02-02",7,4,4,0.571,0.571,4,27,0,TRUE,1.00787583849238,0.992577272409002
12,"2025-02-03","2025-02-09",7,4,4,0.571,0.571,4,29,0,TRUE,1.06061805700588,1.04667599912086
13,"2025-02-10","2025-02-16",7,4,4,0.571,0.571,4,22,0,TRUE,0.988309088719132,1.08094619160827
14,"2025-02-17","2025-02-23",7,4,4,0.571,0.571,4,17,0,TRUE,1.02408049617301,1.08069631783984
15,"2025-02-24","2025-03-02",7,5,5,0.714,0.714,5,80,1,TRUE,0.995809446605479,0.842041128372178
16,"2025-03-03","2025-03-09",7,5,5,0.714,0.714,15,26,0,TRUE,0.816482803270954,0.977162325435259
17,"2025-03-10","2025-03-16",7,4,4,0.571,0.571,12,28,0,TRUE,0.852205799208216,0.974978157394803
18,"2025-03-17","2025-03-23",7,5,5,0.714,0.714,15,29,0,TRUE,0.817812086314939,0.978561447680856
19,"2025-03-24","2025-03-30",7,4,4,0.571,0.571,12,44,0,TRUE,0.844814796771643,0.922881139995563
20,"2025-03-31","2025-04-06",7,5,5,0.714,0.714,15,58,0,TRUE,0.811129351694618,0.909289621476985
21,"2025-04-07","2025-04-13",7,2,2,0.286,0.286,6,21,0,TRUE,0.91841973267112,1.00086086855925
22,"2025-04-14","2025-04-20",7,2,2,0.286,0.286,4,74,0,TRUE,0.971071986673247,0.855027646594318
23,"2025-04-21","2025-04-27",7,3,3,0.429,0.429,9,24,0,TRUE,0.884311966906256,0.933553657065421
24,"2025-04-28","2025-05-04",7,6,6,0.857,0.857,18,82,0,TRUE,0.789750835134974,0.820289702256068
25,"2025-05-05","2025-05-11",7,1,1,0.143,0.143,3,4,0,TRUE,1.24555815612524,1.11277931827918
26,"2025-05-12","2025-05-18",7,5,5,0.714,0.714,15,58,0,TRUE,0.801639046803007,0.832480717411677
27,"2025-05-19","2025-05-25",7,4,4,0.571,0.571,12,54,0,TRUE,0.843597855876428,0.868835602297324
28,"2025-05-26","2025-06-01",7,0,0,0,0,0,0,0,FALSE,1.33397824034945,1.24278231555445
29,"2025-06-02","2025-06-08",7,4,4,0.571,0.571,12,47,0,TRUE,0.840196381875712,0.908226913690698
30,"2025-06-09","2025-06-15",7,0,0,0,0,0,0,0,FALSE,1.37826705978381,1.26725726583611
31,"2025-06-16","2025-06-22",7,2,2,0.286,0.286,6,28,0,TRUE,0.908697085434442,0.939216932092559
32,"2025-06-23","2025-06-29",7,0,0,0,0,0,0,0,FALSE,1.42727761646226,1.26253487890408
33,"2025-06-30","2025-07-06",7,2,2,0.286,0.286,6,27,0,TRUE,0.913463514723666,1.01474794393156
34,"2025-07-07","2025-07-13",7,0,0,0,0,0,0,0,FALSE,1.36314638893421,1.28330949250169
35,"2025-07-14","2025-07-20",7,3,3,0.429,0.429,9,31,0,TRUE,0.843726974505587,0.924260540321706
36,"2025-07-21","2025-07-27",7,1,1,0.143,0.143,3,8,0,TRUE,0.968616095995405,1.14795137431752
37,"2025-07-28","2025-08-03",7,5,5,0.714,0.714,15,70,0,TRUE,0.795901209995217,0.85861858304851
38,"2025-08-04","2025-08-10",7,2,2,0.286,0.286,6,32,0,TRUE,0.894831189268821,0.878856401764117
39,"2025-08-11","2025-08-17",7,4,4,0.571,0.571,12,57,0,TRUE,0.838703189816863,0.870827777178485
40,"2025-08-18","2025-08-24",7,2,2,0.286,0.286,6,31,0,TRUE,0.896531146674109,0.928014348558176
41,"2025-08-25","2025-08-31",7,4,4,0.571,0.571,12,79,1,TRUE,0.814944965097583,0.856958806064298
42,"2025-09-01","2025-09-07",7,4,4,0.571,0.571,12,59,0,TRUE,0.827443805917244,0.838955467413523
43,"2025-09-08","2025-09-14",7,5,5,0.714,0.714,15,56,0,TRUE,0.800580026270625,0.837253212739435
44,"2025-09-15","2025-09-15",1,0,0,0,0,0,0,0,FALSE,1.46897342491635,1.33749094640641
