"fit","ar_resolution","divergences","divergence_fraction","treedepth_pct","C_sum_rhat","E_sum_rhat","C_sum_neff","E_sum_neff","B1_C_rhat","impact_C_sd","impact_E_sd","distortion_C","distortion_E","pass_rhat","pass_neff","pass_div_fraction","pass_impact","pass_convergence","method_selected"
"shore_ring_net_only_Dungeness_Kept","biweekly",50,0.0083,0,0.9999,1,6370,6102,0.9997,0.0016,4e-04,0.0073,0.0187,TRUE,TRUE,TRUE,TRUE,TRUE,"BSS"
"shore_all_gear_Dungeness_Kept","weekly",217,0.0217,0,0.9999,0.9998,10739,10717,1.0001,0.0026,0,0.0088,1e-04,TRUE,TRUE,TRUE,TRUE,TRUE,"BSS"
"private_boat_ring_net_only_Dungeness_Kept","monthly",62,0.0103,0,1.0002,1.0005,4692,5915,1.0002,9e-04,0.0023,0.1941,0.1047,TRUE,TRUE,TRUE,TRUE,TRUE,"BSS"
"private_boat_all_gear_Dungeness_Kept","monthly",69,0.0069,0,1,1.0001,8679,10637,1,1e-04,7e-04,0.0013,0.0147,TRUE,TRUE,TRUE,TRUE,TRUE,"BSS"
