"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",34840,46256,41445,51963
"Dungeness_Kept","Expected_Catch",49321,80715,66042,103228
"Dungeness_Kept","Predictive_Catch",NA,80742,66048,103339
