"data_type","day_index","event_date","observed","fitted_mean","pit","p_zero","p_one","in_50","in_95"
"trailer",2,"2024-12-02",1,1.52,0.513,0.38983,0.24631,TRUE,TRUE
"trailer",3,"2024-12-03",2,1.52,0.7099,0.38983,0.24631,TRUE,TRUE
"trailer",4,"2024-12-04",5,1.52,0.9378,0.38983,0.24631,FALSE,TRUE
"trailer",5,"2024-12-05",3,1.52,0.8273,0.38983,0.24631,FALSE,TRUE
"trailer",6,"2024-12-06",2,1.52,0.7099,0.38983,0.24631,TRUE,TRUE
"trailer",7,"2024-12-07",2,2.559,0.5543,0.2712,0.20784,TRUE,TRUE
"trailer",10,"2024-12-10",1,1.52,0.513,0.38983,0.24631,TRUE,TRUE
"trailer",11,"2024-12-11",0,1.52,0.1949,0.38983,0.24631,FALSE,TRUE
"trailer",12,"2024-12-12",1,1.52,0.513,0.38983,0.24631,TRUE,TRUE
"trailer",13,"2024-12-13",0,1.52,0.1949,0.38983,0.24631,FALSE,TRUE
"trailer",14,"2024-12-14",0,2.559,0.1356,0.2712,0.20784,FALSE,TRUE
"trailer",15,"2024-12-15",2,2.559,0.5543,0.2712,0.20784,TRUE,TRUE
"trailer",18,"2024-12-18",4,1.52,0.8967,0.38983,0.24631,FALSE,TRUE
"trailer",20,"2024-12-20",1,1.52,0.513,0.38983,0.24631,TRUE,TRUE
"trailer",21,"2024-12-21",1,2.559,0.3751,0.2712,0.20784,TRUE,TRUE
"trailer",22,"2024-12-22",1,2.559,0.3751,0.2712,0.20784,TRUE,TRUE
"trailer",23,"2024-12-23",2,1.52,0.7099,0.38983,0.24631,TRUE,TRUE
"trailer",24,"2024-12-24",1,1.52,0.513,0.38983,0.24631,TRUE,TRUE
"trailer",26,"2024-12-26",0,1.52,0.1949,0.38983,0.24631,FALSE,TRUE
"trailer",27,"2024-12-27",2,1.52,0.7099,0.38983,0.24631,TRUE,TRUE
"trailer",28,"2024-12-28",5,2.559,0.8393,0.2712,0.20784,FALSE,TRUE
"trailer",31,"2024-12-31",2,4.276,0.4095,0.18512,0.15939,TRUE,TRUE
"trailer",32,"2025-01-01",3,3.328,0.6074,0.22837,0.18438,TRUE,TRUE
"trailer",33,"2025-01-02",0,1.185,0.2265,0.45295,0.25449,FALSE,TRUE
"trailer",34,"2025-01-03",0,1.185,0.2265,0.45295,0.25449,FALSE,TRUE
"trailer",35,"2025-01-04",0,1.998,0.1632,0.32645,0.22885,FALSE,TRUE
"trailer",38,"2025-01-07",0,1.185,0.2265,0.45295,0.25449,FALSE,TRUE
"trailer",39,"2025-01-08",4,1.185,0.9349,0.45295,0.25449,FALSE,TRUE
"trailer",40,"2025-01-09",1,1.185,0.5802,0.45295,0.25449,TRUE,TRUE
"trailer",41,"2025-01-10",1,1.185,0.5802,0.45295,0.25449,TRUE,TRUE
"trailer",42,"2025-01-11",1,1.998,0.4409,0.32645,0.22885,TRUE,TRUE
"trailer",45,"2025-01-14",5,1.185,0.9644,0.45295,0.25449,FALSE,TRUE
"trailer",47,"2025-01-16",0,1.185,0.2265,0.45295,0.25449,FALSE,TRUE
"trailer",48,"2025-01-17",3,1.185,0.8796,0.45295,0.25449,FALSE,TRUE
"trailer",49,"2025-01-18",4,1.998,0.8397,0.32645,0.22885,FALSE,TRUE
"trailer",52,"2025-01-21",1,1.185,0.5802,0.45295,0.25449,TRUE,TRUE
"trailer",53,"2025-01-22",1,1.185,0.5802,0.45295,0.25449,TRUE,TRUE
"trailer",54,"2025-01-23",0,1.185,0.2265,0.45295,0.25449,FALSE,TRUE
"trailer",55,"2025-01-24",1,1.185,0.5802,0.45295,0.25449,TRUE,TRUE
"trailer",56,"2025-01-25",1,1.998,0.4409,0.32645,0.22885,TRUE,TRUE
"trailer",60,"2025-01-29",3,1.185,0.8796,0.45295,0.25449,FALSE,TRUE
"trailer",61,"2025-01-30",0,1.185,0.2265,0.45295,0.25449,FALSE,TRUE
"trailer",62,"2025-01-31",0,1.185,0.2265,0.45295,0.25449,FALSE,TRUE
"trailer",63,"2025-02-01",0,0.947,0.2588,0.51764,0.25085,TRUE,TRUE
"trailer",67,"2025-02-05",0,0.562,0.3217,0.64342,0.22896,TRUE,TRUE
"trailer",68,"2025-02-06",0,0.562,0.3217,0.64342,0.22896,TRUE,TRUE
"trailer",69,"2025-02-07",0,0.562,0.3217,0.64342,0.22896,TRUE,TRUE
"trailer",70,"2025-02-08",2,1.57,0.7099,0.39778,0.24118,TRUE,TRUE
"trailer",73,"2025-02-11",0,0.562,0.3217,0.64342,0.22896,TRUE,TRUE
"trailer",74,"2025-02-12",1,0.562,0.7579,0.64342,0.22896,FALSE,TRUE
"trailer",76,"2025-02-14",1,0.562,0.7579,0.64342,0.22896,FALSE,TRUE
"trailer",77,"2025-02-15",2,0.947,0.8277,0.51764,0.25085,FALSE,TRUE
"trailer",81,"2025-02-19",0,0.562,0.3217,0.64342,0.22896,TRUE,TRUE
"trailer",82,"2025-02-20",0,0.562,0.3217,0.64342,0.22896,TRUE,TRUE
"trailer",83,"2025-02-21",0,0.562,0.3217,0.64342,0.22896,TRUE,TRUE
"trailer",84,"2025-02-22",1,0.947,0.6431,0.51764,0.25085,TRUE,TRUE
"trailer",87,"2025-02-25",0,0.562,0.3217,0.64342,0.22896,TRUE,TRUE
"trailer",88,"2025-02-26",2,0.562,0.9126,0.64342,0.22896,FALSE,TRUE
"trailer",89,"2025-02-27",0,0.562,0.3217,0.64342,0.22896,TRUE,TRUE
"trailer",90,"2025-02-28",0,0.562,0.3217,0.64342,0.22896,TRUE,TRUE
"trailer",91,"2025-03-01",2,1.724,0.6716,0.35571,0.23973,TRUE,TRUE
"trailer",94,"2025-03-04",0,1.025,0.2431,0.48613,0.25761,FALSE,TRUE
"trailer",95,"2025-03-05",0,1.025,0.2431,0.48613,0.25761,FALSE,TRUE
"trailer",96,"2025-03-06",1,1.025,0.6149,0.48613,0.25761,TRUE,TRUE
"trailer",98,"2025-03-08",0,1.724,0.1779,0.35571,0.23973,FALSE,TRUE
"trailer",101,"2025-03-11",2,1.025,0.8083,0.48613,0.25761,FALSE,TRUE
"trailer",102,"2025-03-12",1,1.025,0.6149,0.48613,0.25761,TRUE,TRUE
"trailer",104,"2025-03-14",1,1.025,0.6149,0.48613,0.25761,TRUE,TRUE
"trailer",105,"2025-03-15",0,1.724,0.1779,0.35571,0.23973,FALSE,TRUE
"trailer",108,"2025-03-18",2,1.025,0.8083,0.48613,0.25761,FALSE,TRUE
"trailer",109,"2025-03-19",0,1.025,0.2431,0.48613,0.25761,FALSE,TRUE
"trailer",109,"2025-03-19",0,1.025,0.2431,0.48613,0.25761,FALSE,TRUE
"trailer",110,"2025-03-20",0,1.025,0.2431,0.48613,0.25761,FALSE,TRUE
"trailer",111,"2025-03-21",0,1.025,0.2431,0.48613,0.25761,FALSE,TRUE
"trailer",112,"2025-03-22",1,1.724,0.4756,0.35571,0.23973,TRUE,TRUE
"trailer",112,"2025-03-22",6,1.724,0.9501,0.35571,0.23973,FALSE,TRUE
"trailer",113,"2025-03-23",0,1.724,0.1779,0.35571,0.23973,FALSE,TRUE
"trailer",115,"2025-03-25",8,1.025,0.9968,0.48613,0.25761,FALSE,FALSE
"trailer",117,"2025-03-27",0,1.025,0.2431,0.48613,0.25761,FALSE,TRUE
"trailer",118,"2025-03-28",0,1.025,0.2431,0.48613,0.25761,FALSE,TRUE
"trailer",122,"2025-04-01",1,3.443,0.2959,0.20781,0.17627,TRUE,TRUE
"trailer",123,"2025-04-02",1,3.443,0.2959,0.20781,0.17627,TRUE,TRUE
"trailer",124,"2025-04-03",6,3.443,0.8115,0.20781,0.17627,FALSE,TRUE
"trailer",125,"2025-04-04",13,3.443,0.9708,0.20781,0.17627,FALSE,TRUE
"trailer",125,"2025-04-04",9,3.443,0.9156,0.20781,0.17627,FALSE,TRUE
"trailer",126,"2025-04-05",16,5.807,0.9319,0.13082,0.12305,FALSE,TRUE
"trailer",131,"2025-04-10",0,3.443,0.1039,0.20781,0.17627,FALSE,TRUE
"trailer",132,"2025-04-11",2,3.443,0.4546,0.20781,0.17627,TRUE,TRUE
"trailer",136,"2025-04-15",2,3.443,0.4546,0.20781,0.17627,TRUE,TRUE
"trailer",140,"2025-04-19",2,5.807,0.3086,0.13082,0.12305,TRUE,TRUE
"trailer",144,"2025-04-23",10,3.443,0.9354,0.20781,0.17627,FALSE,TRUE
"trailer",145,"2025-04-24",3,3.443,0.5802,0.20781,0.17627,TRUE,TRUE
"trailer",145,"2025-04-24",3,3.443,0.5802,0.20781,0.17627,TRUE,TRUE
"trailer",146,"2025-04-25",7,3.443,0.8559,0.20781,0.17627,FALSE,TRUE
"trailer",150,"2025-04-29",2,3.443,0.4546,0.20781,0.17627,TRUE,TRUE
"trailer",150,"2025-04-29",3,3.443,0.5802,0.20781,0.17627,TRUE,TRUE
"trailer",151,"2025-04-30",7,3.443,0.8559,0.20781,0.17627,FALSE,TRUE
"trailer",152,"2025-05-01",56,7.264,0.9994,0.10403,0.10163,FALSE,FALSE
"trailer",152,"2025-05-01",56,7.264,0.9994,0.10403,0.10163,FALSE,FALSE
"trailer",153,"2025-05-02",3,7.264,0.3421,0.10403,0.10163,TRUE,TRUE
"trailer",153,"2025-05-02",2,7.264,0.2526,0.10403,0.10163,TRUE,TRUE
"trailer",154,"2025-05-03",4,12.275,0.2759,0.0621,0.0638,TRUE,TRUE
"trailer",155,"2025-05-04",7,12.275,0.4293,0.0621,0.0638,TRUE,TRUE
"trailer",155,"2025-05-04",7,12.275,0.4293,0.0621,0.0638,TRUE,TRUE
"trailer",158,"2025-05-07",1,7.264,0.1548,0.10403,0.10163,FALSE,TRUE
"trailer",158,"2025-05-07",0,7.264,0.052,0.10403,0.10163,FALSE,TRUE
"trailer",158,"2025-05-07",0,7.264,0.052,0.10403,0.10163,FALSE,TRUE
"trailer",164,"2025-05-13",1,7.264,0.1548,0.10403,0.10163,FALSE,TRUE
"trailer",164,"2025-05-13",1,7.264,0.1548,0.10403,0.10163,FALSE,TRUE
"trailer",165,"2025-05-14",0,7.264,0.052,0.10403,0.10163,FALSE,TRUE
"trailer",166,"2025-05-15",11,7.264,0.7759,0.10403,0.10163,FALSE,TRUE
"trailer",166,"2025-05-15",9,7.264,0.7054,0.10403,0.10163,TRUE,TRUE
"trailer",167,"2025-05-16",1,7.264,0.1548,0.10403,0.10163,FALSE,TRUE
"trailer",167,"2025-05-16",0,7.264,0.052,0.10403,0.10163,FALSE,TRUE
"trailer",168,"2025-05-17",3,12.275,0.218,0.0621,0.0638,FALSE,TRUE
"trailer",168,"2025-05-17",2,12.275,0.157,0.0621,0.0638,FALSE,TRUE
"trailer",172,"2025-05-21",2,7.264,0.2526,0.10403,0.10163,TRUE,TRUE
"trailer",172,"2025-05-21",2,7.264,0.2526,0.10403,0.10163,TRUE,TRUE
"trailer",173,"2025-05-22",13,7.264,0.8296,0.10403,0.10163,FALSE,TRUE
"trailer",173,"2025-05-22",12,7.264,0.8046,0.10403,0.10163,FALSE,TRUE
"trailer",174,"2025-05-23",10,7.264,0.743,0.10403,0.10163,TRUE,TRUE
"trailer",174,"2025-05-23",5,7.264,0.4941,0.10403,0.10163,TRUE,TRUE
"trailer",175,"2025-05-24",23,20.367,0.6827,0.0383,0.04038,TRUE,TRUE
"trailer",175,"2025-05-24",7,20.367,0.2898,0.0383,0.04038,TRUE,TRUE
"trailer",186,"2025-06-04",2,9.245,0.2058,0.08294,0.08328,FALSE,TRUE
"trailer",186,"2025-06-04",2,9.245,0.2058,0.08294,0.08328,FALSE,TRUE
"trailer",187,"2025-06-05",5,9.245,0.4172,0.08294,0.08328,TRUE,TRUE
"trailer",187,"2025-06-05",4,9.245,0.3526,0.08294,0.08328,TRUE,TRUE
"trailer",187,"2025-06-05",1,9.245,0.1246,0.08294,0.08328,FALSE,TRUE
"trailer",188,"2025-06-06",1,9.245,0.1246,0.08294,0.08328,FALSE,TRUE
"trailer",188,"2025-06-06",2,9.245,0.2058,0.08294,0.08328,FALSE,TRUE
"trailer",189,"2025-06-07",13,15.555,0.5639,0.04875,0.05101,TRUE,TRUE
"trailer",189,"2025-06-07",14,15.555,0.5916,0.04875,0.05101,TRUE,TRUE
"trailer",202,"2025-06-20",8,9.245,0.5772,0.08294,0.08328,TRUE,TRUE
"trailer",202,"2025-06-20",8,9.245,0.5772,0.08294,0.08328,TRUE,TRUE
"trailer",203,"2025-06-21",6,15.555,0.3144,0.04875,0.05101,TRUE,TRUE
"trailer",203,"2025-06-21",2,15.555,0.1251,0.04875,0.05101,FALSE,TRUE
"trailer",214,"2025-07-02",16,33.729,0.3637,0.02132,0.02289,TRUE,TRUE
"trailer",217,"2025-07-05",74,56.855,0.7313,0.01223,0.0132,TRUE,TRUE
"trailer",228,"2025-07-16",13,33.729,0.3046,0.02132,0.02289,TRUE,TRUE
"trailer",228,"2025-07-16",12,33.729,0.2839,0.02132,0.02289,TRUE,TRUE
"trailer",229,"2025-07-17",15,33.729,0.3445,0.02132,0.02289,TRUE,TRUE
"trailer",229,"2025-07-17",14,33.729,0.3248,0.02132,0.02289,TRUE,TRUE
"trailer",231,"2025-07-19",73,56.855,0.7263,0.01223,0.0132,TRUE,TRUE
"trailer",234,"2025-07-22",54,33.729,0.8025,0.02132,0.02289,FALSE,TRUE
"trailer",241,"2025-07-29",39,33.729,0.6854,0.02132,0.02289,TRUE,TRUE
"trailer",241,"2025-07-29",15,33.729,0.3445,0.02132,0.02289,TRUE,TRUE
