"gear_type","catch","has_BSS","proportion"
"Trap",34538,TRUE,0.304
"All",32541,TRUE,0.287
"Pot",23980,TRUE,0.211
"Ring Net",13482,TRUE,0.119
"Snare",8983,TRUE,0.079
