"fit","R_G_interpretation","R_G_boat_interpretation","R_G_boat_decoupled"
"shore_ring_net_only_Dungeness_Kept","1.32 gear/crabber (1.27-1.38)","3.95 gear/group (1.51-10.70)  [PRIOR ONLY: no boat count stream in this fit]",TRUE
"shore_all_gear_Dungeness_Kept","1.28 gear/crabber (1.24-1.32)","4.02 gear/group (1.51-10.54)  [PRIOR ONLY: no boat count stream in this fit]",TRUE
"private_boat_ring_net_only_Dungeness_Kept","1.26 gear/crabber (0.70-2.27)","2.88 gear/group (2.19-3.70)",FALSE
"private_boat_all_gear_Dungeness_Kept","1.22 gear/crabber (0.68-2.21)","3.55 gear/group (3.23-3.89)",FALSE
