"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",53640,33610,83406,0.692
"Trap",11606,10299,13140,0.15
"Ring Net",9892,7937,12780,0.128
"Snare",1992,1728,2337,0.026
"Other",337,142,713,0.004
