"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1673,1144,2816,1230,918,1693
"2024-10",2944,2309,3919,2101,1702,2601
"2024-11",2596,1999,3572,1941,1530,2471
"2024-12",8742,8139,9555,2096,1728,2595
"2025-01",6792,6381,7365,2427,1955,3114
"2025-02",1581,1329,1971,1498,1185,1978
"2025-03",1424,1052,1961,1997,1599,2591
"2025-04",3171,2313,4398,3219,2525,4198
"2025-05",4473,2931,7038,3214,2463,4327
"2025-06",6188,3582,10306,3833,2700,5536
"2025-07",16119,8239,28425,7518,4972,11032
"2025-08",15447,8083,27012,7359,4992,10617
"2025-09",5897,3196,10295,2787,1928,3980
