"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",303245,166519,147290,199775
"Dungeness_Kept","Expected_Catch",100846,100465,78154,137462
"Dungeness_Kept","Predictive_Catch",NA,100488,78138,137358
