"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",3402,3098,3919,6176,5723,6975
"2024-10",6070,5561,6759,10984,10238,12025
"2024-11",3403,2834,4178,5615,4801,6636
"2024-12",10222,9339,11569,6496,5423,8018
"2025-01",7383,6809,8367,5700,4670,7177
"2025-02",1776,1461,2270,3544,2805,4671
"2025-03",2140,1542,3326,5274,4280,6763
"2025-04",4890,3410,7819,10144,8080,13169
"2025-05",6010,4045,9977,11483,9060,15679
"2025-06",6619,3627,15004,12994,8885,22379
"2025-07",19776,10155,42229,35722,24622,60955
"2025-08",17846,9619,32676,33864,26243,47815
"2025-09",8333,4044,16402,15753,11869,22301
