"data_type","coverage_50","coverage_95","pit_mean","pit_sd","n","n_obs"
"gear",0.634615384615385,0.980769230769231,0.525384615384615,0.244971429214147,52,52
"catch",0.674065420560748,0.985981308411215,0.501525992990654,0.280059789166143,856,856
