"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1396,1016,2041,1063,791,1544
"2024-10",2766,2191,3525,2024,1626,2555
"2024-11",2401,1824,3201,1820,1407,2375
"2024-12",8909,8201,9841,2067,1618,2677
"2025-01",6635,6250,7166,2113,1647,2751
"2025-02",1558,1300,1927,1401,1044,1878
"2025-03",1085,802,1506,1529,1270,1846
"2025-04",2431,1854,3250,2744,2252,3372
"2025-05",4029,2726,6377,2996,2423,3705
"2025-06",2704,1875,4116,2373,1827,3148
"2025-07",6141,3904,10569,5123,3960,6792
"2025-08",7940,4911,13682,5379,4192,7024
"2025-09",2832,1816,5032,2124,1567,2926
