"metric","value"
"Season start","2024-09-16"
"Season end","2025-09-15"
"Season days","365"
"PE total catch","44810"
"BSS total catch (median)","51751"
"BSS 95% CI lower","46200"
"BSS 95% CI upper","59844"
"Catch (PE): Shore","21533"
"Catch (PE): Private Boat","11291"
"Catch (PE): Commercial/Charter","11986"
"Catch % (PE): Shore","48.1"
"Catch % (PE): Private Boat","25.2"
"Catch % (PE): Commercial/Charter","26.7"
"Effort days sampled","200"
"Total interviews","3925"
"BSS fits attempted","3"
"BSS fits passed convergence","3"
