"obs","k_baseline","k_covariates"
1,0.652352978761722,0.532362920170807
2,0.551149286950512,0.497794085718361
3,0.567194803478784,0.483276503455456
4,0.610089827251292,0.382158773509129
5,0.614594833843161,0.546211647904575
6,0.539075119198322,0.513965398078529
7,0.805455438940719,0.614890122600482
8,0.636346755781005,0.677140071060794
9,0.593925679473185,0.571660694043627
10,0.537306790148546,0.651910539369334
11,0.52610215023794,0.412404097136114
12,0.653957254650239,0.445684633989965
13,0.600911041770782,0.580639740620365
14,0.690719739783521,0.522584881466456
15,0.623496412481199,0.695551462446328
16,0.639991818702785,0.456881161488858
17,0.63908067687919,0.569008035284137
18,0.560067928308265,0.613626241628821
19,0.615002106073002,0.623398970205731
20,0.487687734796288,0.520564372491154
21,0.460328556255611,0.462833278971427
22,0.612871303993835,0.352080529573725
23,0.630542223847224,0.447964205946772
24,0.379858765212343,0.344163305072548
25,0.592714632142777,0.730802148468922
26,0.547809040825872,0.559506432759632
27,0.54982441506997,0.665422959186207
28,0.477417830901897,0.364373822494753
29,0.636794059669314,0.666504156023791
30,0.4876834723306,0.457068431201176
31,0.496252629955027,0.49685727612178
32,0.431144163400258,0.474134158573858
33,0.468864696548527,0.612564888980457
34,0.694258386854436,0.599165147858392
35,0.465547555636373,0.488100425919434
36,0.424442152110264,0.488931585760438
37,0.600153284026142,0.659932310404809
38,0.455338864557208,0.657095380393578
39,0.535002781511725,0.46158113066834
40,0.636233995726253,0.521986006521235
41,0.504795759353701,0.725667353014514
42,0.510409631850921,0.498885483223784
43,0.659983998192691,0.66757543468515
44,0.425713949219607,0.49822720210953
45,0.526492176945211,0.63560087740712
46,0.520768511905159,0.70752480664808
47,0.4642875119302,0.551639231238099
48,0.437843296306737,0.570614848997085
49,0.479376579628636,0.497820046452517
50,0.562373712643855,0.513088904161116
51,0.687954658260202,0.838216090075966
52,0.627254977816727,0.481871468612073
53,0.110853189750574,0.104337579397594
54,0.0695900124390822,0.0230202614235227
55,0.0426897922110531,0.12613785021109
56,0.069684259457434,0.0366799824028816
57,0.0802994016829661,0.00491014173155415
58,0.34274429570792,0.161382219502526
59,0.149810627700453,0.0591007229745888
60,0.0788540240797527,0.119706897907083
61,0.259208109691454,0.104791491271291
62,0.114738372264875,0.100815798579455
63,0.175607998149552,-0.00700639030317072
64,0.142898582433018,0.0210528030554288
65,0.154407793469969,0.00616101495850807
66,0.155816366046695,0.0279240973251316
67,0.203099726759063,-0.0288163955984737
68,0.147333134130357,-0.0325706683243292
69,0.16187803433289,0.0710926140115179
70,0.139949191000481,0.0332360134276958
71,0.175607998149552,-0.00700639030317072
72,0.203099726759063,-0.0288163955984737
73,0.20000269303991,0.0891099192512774
74,0.216735070439395,0.0681243283794587
75,0.312732858520039,0.0952627901941332
76,0.0384048185571702,0.0688128971912048
77,0.0348457547627269,0.0504495117702618
78,-0.0861924359171909,0.0624596663724609
79,0.0495935556252874,0.0741225470138446
80,-0.0497103081002154,0.0892969286606832
81,-0.0743421235083399,0.110368666260229
82,0.0573516983155561,0.0725273310834316
83,0.0283793506143358,0.0507116240688606
84,-0.0743421235083399,0.110368666260229
85,-0.0467508453984865,0.0720674551160336
86,0.067724596956227,0.182607621090128
87,-0.0335433590048347,0.106476811170954
88,-0.0437079990098544,0.0841984764967139
89,0.113376797313197,0.138622059082377
90,0.173807165112979,0.317407216459255
91,0.0881904935239971,0.101397871679556
92,0.182829536366527,0.148302270788776
93,0.0921021818293459,0.0437216188199507
94,0.0498489678885235,-0.074703545281741
95,0.0612016404941708,-0.00175066980186298
96,0.159508924869356,0.09331203431479
97,0.0427403006998954,-0.0974789398844521
98,0.175616396396386,0.126417478198424
99,0.0403598998194978,-0.0515971004505583
100,0.228460940403954,0.225228358278142
101,0.0662554337371889,0.0519282277986709
102,-0.0247409470139869,0.0142144144172139
103,0.0447685304615004,0.0428787974232482
104,0.0616255577119245,-0.0247034935386042
105,0.0493832226584696,0.0307226597422246
106,0.0620516816272557,-0.00615566297814093
107,0.0505311548604511,0.0285336816903769
108,0.078968284473401,0.223988572881045
109,0.11497552779208,0.204372867010718
110,-0.0457107468970206,0.0259451437827525
111,0.0505311548604511,0.0285336816903769
112,0.14449368493354,0.106543246873818
113,0.0144103811996391,0.0264772265683364
114,0.14577400766658,-0.0416081147003333
115,-0.00173760922076533,0.0220000243384988
116,-0.0648623833983913,0.0369756385844521
117,-0.0448946226888361,0.0558618546486333
118,0.140870805987704,0.0118298320224575
119,0.0131921817925588,0.0564543428686221
120,0.0952525827832819,0.0807154883122409
121,0.119585948287004,0.111057477324856
122,0.160296383616066,0.11135423896224
123,0.189576439568736,-0.0284710998983146
124,0.170953374009332,-0.0585373268384034
125,0.154682265288111,-0.0183517269214589
126,0.158403749052826,0.0665347506922564
127,0.172427798174888,-0.00425842795832047
128,0.162066811520518,0.0147574242993007
129,0.193506326822072,0.0590349001243389
130,0.0961263894810123,0.0810211992243915
131,0.141488385107516,-0.0331471018838523
132,0.135977018165133,0.110968795177574
133,0.196781187255038,0.156209360468541
134,0.184521772472569,0.0144435246161897
135,0.0845315326229965,0.0903640419070157
136,0.0299639103753606,0.0998657214657155
137,0.10067452015978,0.0554461378599388
138,0.0456402868325908,0.00688147710423092
139,0.226341292960551,0.566949733428835
140,0.0871147903490194,0.0935315950506568
141,0.0932824946970781,0.0981165030797624
142,0.0461732078547524,0.189476993906024
143,0.0711736147719158,-0.0583265205834372
144,0.0669107072992018,-0.0613563001181766
145,0.0774858046056198,0.354498293568359
146,0.264641726244891,0.142371426269552
147,0.0950999226824402,0.2866735478573
148,0.137429779553131,0.0920520723018263
149,0.1997819191942,-0.125289333769101
150,0.102656714061228,-0.134623453873063
151,0.133573067281534,0.0179054680073231
152,0.0433322125988859,0.240149715733245
153,0.402031448185202,0.433843887427218
154,0.0776182225503845,0.274571912987359
155,0.102656714061228,-0.134623453873063
156,0.0859500567678841,-0.0503840519962256
157,-0.047595246396693,-0.334060966646529
158,0.00629240773164387,-0.0123567191346129
159,0.0150059199844018,-0.185700875931162
160,-0.0431852106724171,-0.332804827507727
161,0.0305482201711861,-0.0034639119719102
162,0.0318097936930722,0.0921579357752684
163,0.00629240773164387,-0.0123567191346129
164,0.0536807628124817,0.0319168716855042
165,-0.049661034056071,-0.133022396728564
166,0.084491343989071,0.0999814359915184
167,-0.0397778761232438,0.0607735589463863
168,-0.047595246396693,-0.334060966646529
169,-0.037411501354849,-0.148584378367864
170,-0.00624639185461063,0.0465285514639286
171,0.0347972241849609,0.00735785518626565
172,-0.0332308914301389,-0.288150260404521
173,9.62263703650212e-05,-0.183583618223762
174,0.0181993363584499,0.0419499449009328
175,-0.0207135798142752,0.00533856111822982
176,-0.0509154069018417,-0.333251086854306
177,0.108824961932533,0.0643827663308179
178,0.0572016576405609,0.0776101392326759
179,0.00237882865989466,-0.0695752345317614
180,-0.0399092499087613,-0.304746109448034
181,0.0218754820657613,0.0568812371984505
182,0.084491343989071,0.0999814359915184
183,-0.0700791112712426,-0.323009281748225
184,0.117290237895715,0.0659893473275356
185,-0.0678951402538785,-0.199779725963647
186,0.0664828117483545,0.0282692737847374
187,-0.0678951402538785,-0.199779725963647
188,0.0218754820657613,0.0568812371984505
189,-0.0495558877198998,0.0811240425928749
190,-0.0509154069018417,-0.333251086854306
191,-0.0266101406132358,-0.296040856020874
192,0.0110566098273888,0.038120957999688
193,0.0290434904382691,-0.0130278543506436
194,0.00629240773164387,-0.0123567191346129
195,0.0733334582148923,0.0214500208705503
196,0.0647643406752992,0.0671976468302872
197,0.0476362019197589,0.0548209681593169
198,-0.0206145640481344,-0.0328253486734806
199,0.202111287887629,0.2139468710605
200,-0.108840205500144,0.097600503955917
201,-0.0441620217253712,-0.0253450287585672
202,0.293419918747189,0.249313486341938
203,-0.103917223050837,0.0739531876010592
204,-0.076792580770269,0.0483142448559604
205,-0.0628424576717518,0.0226843532845582
206,0.186167065955791,0.192300019676841
207,0.0324349054412166,-0.00883960267082408
208,0.207375718999463,0.201527161617897
209,-0.0529598281508253,0.108595908242809
210,0.341299787234705,0.268316294117744
