"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model2",0,0,-3621.70255940954,42.3195359694906,42.0660225351191,4.67851861707162,7243.40511881908,84.6390719389812
"model1",-10.2534574312015,4.67953859858781,-3631.95601684078,42.9679163849448,39.9610698228695,4.57962527312936,7263.91203368156,85.9358327698896
