"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (Pot closure)",4486,4768,6.3,5869,6275,6.9,"BSS"
"shore (All gear)",18104,23969,32.4,15665,20608,31.6,"BSS"
"private_boat (Pot closure)",584,NA,NA,1170,NA,NA,"PE"
"private_boat (All gear)",11886,14708,23.7,36468,43221,18.5,"BSS"
"comm_charter (census)",283,NA,NA,11986,NA,NA,"Census"
