"fit","weekend_effort_mult","holiday_effort_mult","weekend_cpue_mult","B1_C_median","B1_C_lo95","B1_C_hi95"
"shore_ring_net_only_Dungeness_Kept","1.61x (1.17-2.24)","1.66x (0.60-5.21)","0.82x (0.69-0.96)",-0.203,-0.369,-0.042
"shore_all_gear_Dungeness_Kept","1.67x (1.33-2.10)","2.81x (1.56-5.16)","0.72x (0.61-0.86)",-0.325,-0.494,-0.147
"private_boat_all_gear_Dungeness_Kept","1.30x (0.95-1.76)","2.15x (1.09-4.90)","1.00x (0.73-1.34)",-0.005,-0.315,0.292
