"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1672,1312,2295,1200,938,1648
"2024-10",3225,2647,4017,2248,1865,2777
"2024-11",2494,1935,3279,1867,1451,2393
"2024-12",9705,8889,10826,2273,1876,2822
"2025-01",7360,6815,8176,2479,1987,3223
"2025-02",1717,1406,2220,1534,1181,2060
"2025-03",1870,1323,2914,2054,1636,2706
"2025-04",3515,2470,5287,3381,2654,4448
"2025-05",7937,5080,13308,3958,3126,5263
"2025-06",4357,2741,7457,3327,2390,4879
"2025-07",12501,7193,23626,7371,5498,10465
"2025-08",19601,12545,31447,8335,6567,10902
"2025-09",5872,3421,10886,3625,2722,4958
