"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",59588,48388,76963,0.711
"Trap",11461,10193,13188,0.137
"Ring Net",10337,8959,12276,0.123
"Snare",1995,1722,2345,0.024
"Other",410,240,722,0.005
