"param","median_bulk","median_div","smd","distortion_C","distortion_E"
"sigma_mu_E",0.697541752713682,0.635764832672476,0.258861671937941,0.0018332050504545,0.0082537758190134
"sigma_mu_C",0.703154857507211,0.761786867202881,0.190766103115472,0.0018332050504545,0.0082537758190134
"sigma_IE",1.03287153883498,1.07301327086765,0.163650160378108,0.0018332050504545,0.0082537758190134
"r_C",0.945123982415971,0.947872562352493,0.135444448745745,0.0018332050504545,0.0082537758190134
"sigma_r_C",1.02862152525038,1.02712907724402,-0.129627189703714,0.0018332050504545,0.0082537758190134
"phi_C",0.832992534610776,0.841319992159731,0.064648501990688,0.0018332050504545,0.0082537758190134
"sigma_eps_E",0.583025527925562,0.584341244042458,0.0637353553312589,0.0018332050504545,0.0082537758190134
"R_G_boat",3.98442013455903,4.12917068211085,0.0590718233922183,0.0018332050504545,0.0082537758190134
"sigma_eps_C",0.240070655790702,0.240958135965561,-0.0306257266973266,0.0018332050504545,0.0082537758190134
"sigma_r_E",0.234337231153579,0.234075992590159,-0.0219587133472483,0.0018332050504545,0.0082537758190134
"r_E",18.210313049029,18.2509826675109,0.0183953303291765,0.0018332050504545,0.0082537758190134
"phi_E",0.483960177949749,0.486357254061575,0.00869869628329255,0.0018332050504545,0.0082537758190134
"R_G",1.27917715863408,1.27835958325813,-0.00286570829545287,0.0018332050504545,0.0082537758190134
