"fit","p_loo_frac","p_loo_worst_stream","n_pareto_bad","pit_worst_bias","pit_worst_stream","disp_neff_min","disp_neff_min_par","flag_overparameterised","flag_loo_unreliable","flag_pit_bias","flag_dispersion_neff","source","method_selected"
"private_boat_all_gear_Dungeness_Kept",0.0777,"catch",0,0.0803,"osp",8521,"sigma_r_C",FALSE,FALSE,TRUE,FALSE,"reconstructed","BSS"
"private_boat_ring_net_only_Dungeness_Kept",0.2322,"catch",2,0.1475,"osp",2687,"sigma_r_E",FALSE,TRUE,TRUE,FALSE,"reconstructed","BSS"
"shore_all_gear_Dungeness_Kept",0.3519,"gear",41,0.0014,"catch",5021,"r_E",TRUE,TRUE,FALSE,FALSE,"reconstructed","BSS"
"shore_ring_net_only_Dungeness_Kept",0.1143,"gear",1,0.0144,"gear",6931,"sigma_r_E",FALSE,TRUE,FALSE,FALSE,"reconstructed","BSS"
