"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (Pot closure)",4661,4911,5.3,5959,6331,6.2,"BSS"
"shore (All gear)",18863,24997,32.5,15755,20898,32.6,"BSS"
"private_boat (Pot closure)",180,307,70.2,400,735,83.6,"BSS"
"private_boat (All gear)",3711,9763,163.1,11176,28893,158.5,"BSS"
"comm_charter (census)",279,NA,NA,11821,NA,NA,"Census (day-type stratified)"
