"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"trailer",44,-80.6159869891184,6.75940068195426,5.0945598833258,0,-75.52
"catch",17,-53.1701594383213,3.60195981941363,3.94725978627793,2,-49.22
