"fit","R_G_interpretation","R_G_boat_interpretation"
"shore_ring_net_only_Dungeness_Kept","1.32 gear/crabber (1.27-1.38)","3.95 gear/group (1.51-10.70)"
"shore_all_gear_Dungeness_Kept","1.28 gear/crabber (1.24-1.32)","4.02 gear/group (1.51-10.54)"
"private_boat_ring_net_only_Dungeness_Kept","1.26 gear/crabber (0.68-2.30)","2.90 gear/group (2.17-3.75)"
"private_boat_all_gear_Dungeness_Kept","1.22 gear/crabber (0.68-2.19)","3.55 gear/group (3.25-3.87)"
