"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",45743,30060,70500,0.665
"Trap",11558,10280,13131,0.168
"Ring Net",9229,7637,11616,0.134
"Snare",1960,1702,2284,0.029
"Other",266,110,578,0.004
