"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",27694,40456,33994,49007
"Dungeness_Kept","Expected_Catch",45112,68853,51200,97529
"Dungeness_Kept","Predictive_Catch",NA,68843,51189,97637
