"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",303245,167075,147289,200470
"Dungeness_Kept","Expected_Catch",100846,101181,78023,137365
"Dungeness_Kept","Predictive_Catch",NA,101158,77947,137308
