"fit","weekend_effort_mult","holiday_effort_mult","weekend_cpue_mult","B1_C_median","B1_C_lo95","B1_C_hi95"
"shore_ring_net_only_Dungeness_Kept","1.61x (1.15-2.22)","1.84x (0.68-6.06)","0.74x (0.61-0.90)",-0.3,-0.49,-0.103
"shore_all_gear_Dungeness_Kept","1.67x (1.33-2.11)","2.80x (1.57-5.00)","0.65x (0.56-0.76)",-0.433,-0.585,-0.272
"private_boat_all_gear_Dungeness_Kept","1.34x (0.99-1.82)","2.64x (1.24-5.94)","0.91x (0.59-1.38)",-0.091,-0.531,0.322
