"Component","Effort_hrs","Dungeness"
"Shore (Pot closure)",4485.73333333333,5868.69851125377
"Shore (All gear)",18104.0555555556,15664.5579221061
"Private Boat (Pot closure)",583.905882352941,913.745454545454
"Private Boat (All gear)",11885.8448275862,21909.7491237905
"Commercial/Charter",282.811594202899,11985.6830227743
"PORT TOTAL",35342.3511930309,56342.4340344701
