"period","date_start","date_end","n_days","n_days_with_effort","n_days_with_interview","frac_days_effort","frac_days_interview","n_effort_obs","n_interviews","n_ie_obs","observed","omega_E_ci95_width","omega_C_ci95_width"
1,"2024-12-01","2024-12-01",1,1,1,1,1,1,31,0,TRUE,1.00728509770505,0.815013456329149
2,"2024-12-02","2024-12-02",1,0,1,0,1,0,1,0,TRUE,2.17230629454815,1.04330702270118
3,"2024-12-03","2024-12-03",1,1,1,1,1,1,11,0,TRUE,1.13101819742156,0.925416486794019
4,"2024-12-04","2024-12-04",1,1,1,1,1,1,13,0,TRUE,1.09670597142053,0.88292626342948
5,"2024-12-05","2024-12-05",1,1,1,1,1,1,10,0,TRUE,1.17425859099905,0.936498817605883
6,"2024-12-06","2024-12-06",1,1,1,1,1,1,11,1,TRUE,1.10640184683446,0.898651202115778
7,"2024-12-07","2024-12-07",1,1,1,1,1,1,4,0,TRUE,1.11080896544631,1.08731013297092
8,"2024-12-08","2024-12-08",1,0,0,0,0,0,0,0,FALSE,2.36498515828273,1.25242056648571
9,"2024-12-09","2024-12-09",1,0,0,0,0,0,0,0,FALSE,2.3565078238996,1.25425558670924
10,"2024-12-10","2024-12-10",1,1,1,1,1,1,9,0,TRUE,1.16543330447289,1.09598106767374
11,"2024-12-11","2024-12-11",1,1,1,1,1,1,6,0,TRUE,1.16381721255334,0.978834552431186
12,"2024-12-12","2024-12-12",1,1,1,1,1,1,14,0,TRUE,1.06372065078525,0.898795771971208
13,"2024-12-13","2024-12-13",1,1,1,1,1,1,11,0,TRUE,1.15065645231658,0.931176422207998
14,"2024-12-14","2024-12-14",1,1,1,1,1,1,6,0,TRUE,1.06285614380145,0.978023555835146
15,"2024-12-15","2024-12-15",1,1,1,1,1,1,6,0,TRUE,1.09742971039639,1.15474306541588
16,"2024-12-16","2024-12-16",1,0,0,0,0,0,0,0,FALSE,2.30549078329256,1.28826178205361
17,"2024-12-17","2024-12-17",1,0,0,0,0,0,0,0,FALSE,2.28032254163179,1.24440965887087
18,"2024-12-18","2024-12-18",1,1,1,1,1,1,6,0,TRUE,1.12075948872526,1.08529045580268
19,"2024-12-19","2024-12-19",1,0,0,0,0,0,0,0,FALSE,2.15696928707922,1.15193496097639
20,"2024-12-20","2024-12-20",1,1,1,1,1,1,8,0,TRUE,1.18186023380527,1.0207814688298
21,"2024-12-21","2024-12-21",1,1,1,1,1,1,6,0,TRUE,1.16586046042265,1.02215357075208
22,"2024-12-22","2024-12-22",1,1,1,1,1,1,5,0,TRUE,1.19745545504454,1.07482966878419
23,"2024-12-23","2024-12-23",1,1,1,1,1,1,9,0,TRUE,1.09933972035213,1.0431314730165
24,"2024-12-24","2024-12-24",1,1,1,1,1,1,6,0,TRUE,1.12534753067588,1.06265016247098
25,"2024-12-25","2024-12-25",1,0,0,0,0,0,0,0,FALSE,2.1818809011247,1.16589410444691
26,"2024-12-26","2024-12-26",1,1,1,1,1,1,5,0,TRUE,1.06475438349947,1.01746004027553
27,"2024-12-27","2024-12-27",1,1,1,1,1,1,19,0,TRUE,1.0451926778956,0.86053867763238
