"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1595,1275,2099,1181,955,1537
"2024-10",3164,2611,3942,2324,1942,2871
"2024-11",2720,2130,3528,2069,1637,2661
"2024-12",9683,8884,10801,2283,1885,2844
"2025-01",7355,6818,8159,2482,1994,3211
"2025-02",1701,1395,2194,1532,1178,2083
"2025-03",1867,1326,2871,2062,1646,2717
"2025-04",3532,2473,5258,3394,2654,4473
"2025-05",8151,5383,13319,3972,3149,5240
"2025-06",4411,2743,7491,3314,2415,4860
"2025-07",12708,7268,24015,7411,5553,10464
"2025-08",19294,12394,31512,8353,6534,11045
"2025-09",5877,3409,10980,3612,2710,5048
