"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",3.12086807200685,0.986315793866122,3.08993985331416,5.37151321007354,2302,1.0018
"mu_mu_C[1]",0.140808613010057,-2.22803508048144,0.284662458808388,1.8740494999767,3069,0.9998
"sigma_eps_E",0.186555436123922,0.00784019488504083,0.164939834949354,0.480323475561497,1073,1.0009
"sigma_eps_C",0.0884316804348924,0.00473801781812524,0.0839887448447526,0.209193538091443,1994,1.0005
"phi_E",0.164190690006233,-0.677594583353875,0.21070467800597,0.821278029584253,2127,1.0007
"phi_C",0.189246890997999,-0.638257624507949,0.242051445426723,0.81602089224755,3415,1
"sigma_r_E",0.541389694670169,0.353091496757161,0.544867953944904,0.703665629642117,1441,1.002
"sigma_r_C",0.773584537791794,0.696420585699814,0.773098795387331,0.853608977097561,7946,0.9996
"r_E",3.78630073411403,2.01960934546321,3.36835199053806,8.02094399448097,1327,1.0028
"r_C",1.68475764964842,1.37240424570148,1.67313123549714,2.06184875821889,7631,0.9996
"sigma_mu_E",1.1547219752944,0.0330548710114992,0.707629299545096,5.26142008700548,2897,1.0001
"sigma_mu_C",1.10336225797626,0.0332924274097313,0.725930859887447,4.66230300511011,3824,0.9999
"sigma_IE",0.515462202306209,0.0512401919513686,0.48716165926407,1.11790801998646,3238,0.9997
"R_G",1.32042023312413,1.26214714035155,1.32011541055939,1.37981176331187,10005,0.9996
"R_G_boat",4.51805011778958,1.46890458194311,3.99697711328139,10.6537816906001,7840,0.9997
"B1",0.467487271854374,0.116554405313061,0.465764059828699,0.812606032776936,6404,0.9998
"B2",0.112263575042734,-0.869183569849823,0.0953938020166958,1.21232318435477,6845,0.9998
"B1_C",-0.175585429355364,-0.346442028659513,-0.176256390579908,-0.00127932677011019,7704,1.0002
