"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (Pot closure)",4486,5010,11.7,5869,6586,12.2,"BSS"
"shore (All gear)",18104,24010,32.6,15665,20654,31.9,"BSS"
"private_boat (Pot closure)",584,NA,NA,914,NA,NA,"PE"
"private_boat (All gear)",11886,14716,23.8,21910,43475,98.4,"BSS"
"comm_charter (census)",283,NA,NA,11986,NA,NA,"Census"
