"day_index","event_date","cpue_model_median","cpue_model_lo95","cpue_model_hi95","cpue_raw_interview","n_interviews"
1,"2024-12-01",1.11994655729601,0.781166800758293,1.64304751145097,1.24462365591398,31
2,"2024-12-02",1.53463589904468,0.901917599486433,2.48664638429472,0,1
3,"2024-12-03",1.61177003158362,1.0476448715179,2.44175293156142,1.68181818181818,11
4,"2024-12-04",1.61306865504504,0.989176915870559,2.43341768508871,1.91666666666667,13
5,"2024-12-05",1.49713379850296,0.906876624772548,2.37909963540644,0.933333333333333,10
6,"2024-12-06",1.23817414388496,0.810835144161336,1.91948575708047,1.72727272727273,11
7,"2024-12-07",1.11745654600621,0.654327616625612,1.86643171425516,1,4
8,"2024-12-08",1.02330844676692,0.543075218449356,1.84309339731319,NA,0
9,"2024-12-09",1.38181751299401,0.702785987324353,2.39092647454474,NA,0
10,"2024-12-10",1.28553933732872,0.745902357654201,2.14788041069366,0.777777777777778,9
11,"2024-12-11",1.49719770566982,0.927572414828473,2.34578036931174,1.54166666666667,6
12,"2024-12-12",1.70612510468273,1.12133213629421,2.51575088953146,1.87797619047619,14
13,"2024-12-13",1.34765983028767,0.902600814400462,2.08700425639875,1.65151515151515,11
14,"2024-12-14",1.38728412150592,0.892627265195954,2.2099451702585,2.375,6
15,"2024-12-15",1.12556688344233,0.616224102720909,1.95206682437525,0.333333333333333,6
16,"2024-12-16",1.54627007546611,0.79499646607665,2.88803103480383,NA,0
17,"2024-12-17",1.61192354327513,0.860777560940092,2.92881327486409,NA,0
18,"2024-12-18",1.74300806690245,1.0491030316868,2.89451186442225,2.44444444444444,6
19,"2024-12-19",1.59775732281383,0.925779206290918,2.80783109424417,NA,0
20,"2024-12-20",1.10491900754219,0.703308460105322,1.77133673278747,1.39583333333333,8
21,"2024-12-21",0.954068264939532,0.526725692079612,1.61445528078215,0.958333333333333,6
22,"2024-12-22",0.826217570716996,0.478889859338901,1.37020522172968,0.366666666666667,5
23,"2024-12-23",1.13365646216049,0.684358303134696,1.80211882428623,0.925925925925926,9
24,"2024-12-24",1.14522263340117,0.678425650474268,1.88248774696309,0.997222222222222,6
25,"2024-12-25",1.20794008504028,0.662934056914537,2.0612758050669,NA,0
26,"2024-12-26",1.24853635616604,0.767952164225065,2.04871285261873,1.15333333333333,5
27,"2024-12-27",0.961913260444949,0.664324731454877,1.43409127407327,1.10526315789474,19
28,"2024-12-28",0.890507432710888,0.56940209093161,1.407776875079,0.666666666666667,12
29,"2024-12-29",0.983812531479673,0.528959782646876,1.67971883825121,NA,0
30,"2024-12-30",1.48515365541553,0.833322089294069,2.5635164042437,NA,0
31,"2024-12-31",0.999187685858054,0.726064425507119,1.39356801962172,1.11118421052632,38
32,"2025-01-01",0.855529362277814,0.580048995948831,1.30263621783298,1.07333333333333,15
33,"2025-01-02",1.10831797143145,0.684022254570721,1.80141935107507,0.595,10
34,"2025-01-03",0.790773271241774,0.504508142772362,1.36159312806161,1.075,10
35,"2025-01-04",0.646589144841963,0.380958908295131,1.09739732359159,0.479166666666667,8
36,"2025-01-05",0.600217809580673,0.312170007114307,1.09849946699375,NA,0
37,"2025-01-06",0.762336232868851,0.377499623855831,1.53674663008963,NA,0
38,"2025-01-07",0.684484149530106,0.349922653249159,1.22177496588064,0.0625,4
39,"2025-01-08",0.716312747380193,0.409331642547622,1.35566746863876,0.65,4
40,"2025-01-09",0.742677614696076,0.452946173673769,1.37418438907962,1.0625,4
