"fit","R_G_interpretation","R_G_boat_interpretation"
"shore_ring_net_only_Dungeness_Kept","1.32 gear/crabber (1.26-1.38)","3.99 gear/group (1.52-10.93)"
"shore_all_gear_Dungeness_Kept","1.28 gear/crabber (1.24-1.31)","3.92 gear/group (1.53-10.64)"
"private_boat_all_gear_Dungeness_Kept","1.00 gear/crabber (0.55-1.81)","3.55 gear/group (3.23-3.88)"
